SKEW,6.68,0.23,0.14,5,0.20,0.21,0.30,-1.05,0.30,4.55,,,,,,,,,,,,,,,,
SKEW.P,6.45,0.23,0.13,5,0.20,0.20,0.29,-1.01,0.29,4.40,,,,,,,,,,,,,,,,
Men-Eng,,,,,,,,,,,,Women desire men who?.,,,,Men desire women who?,,,,,,,,,,
AVERAGE,1.20537E+12,5.470588235,10.47058824,2.85539E+12,6.529411765,7.235294118,30.05882353,4.470588235,87867.94118,36969436890623900000000,,First names have higher alphabetic value,,,,Have longer first names,,,,,,,,,,
MODE.MULT,1312020,4,19,21181452020,6,2,27,6,#N/A,#N/A,,last names that start with earlier alphabetical characters (A-I),,,,"Have last names with low alphabetic value, being shorter with much later alphabetic characters ",,,,,,,,,,
MODE.SNGL,1312020,4,19,21181452020,6,2,27,6,#N/A,#N/A,,Who are Lighter-skinned,,,,Who are Younger,,,,,,,,,,
MEDIAN,41139114,5,11,12513952124,6,3,31,6,82755,1981251451011410000,,,,,,Darker-skinned,,,,,,,,,,
VAR.P,2.01E+25,3.190311419,39.77854671,8.14548E+25,1.543252595,37.5916955,10.76124567,4.249134948,667832961.7,10055395587442500000000000000000000000000000000,,Women do not want men who?,,,,Poorer,,,,,,,,,,
VAR.S,2.13562E+25,3.389705882,42.26470588,8.65457E+25,1.639705882,39.94117647,11.43382353,4.514705882,709572521.8,10683857811657700000000000000000000000000000000,,Have lower alphabetic valued first names that are short and have later alphabetic characters,,,,,,,,,,,,,,
AVEDEV,2.10669E+12,1.557093426,5.446366782,4.76745E+12,0.975778547,5.543252595,2.996539792,1.806228374,20469.34256,64614722691881900000000,,Havee lowered alphabetic valued last names,,,,Men do not want women who?,,,,,,,,,,
SKEW,4.103107646,0.15505078,-0.041880191,3.842830867,1.241797814,0.677587931,0.008634351,-1.017156597,0.859043941,3,,Are old,,,,have earlier alphabetic characters in their first name,,,,,,,,,,
SKEW.P,3.731811665,0.141020017,-0.038090394,3.495087698,1.129425783,0.616272046,0.007853017,-0.925112667,0.781307847,2,,,,,,"have long, or high alphabetically valued last names",,,,,,,,,,
Men-Not,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,16400915048,5.214285714,11.5,9.76966E+11,5.928571429,10.89285714,31.75,4.714285714,79273.42857,1607918823537130000000,,,,,,,,,,,,,,,,
MODE.MULT,#N/A,4,10,19139208,6,2,#SPILL!,6,83043,#N/A,,,,,,,,,,,,,,,,
MODE.SNGL,#N/A,4,10,19139208,6,2,30,6,83043,#N/A,,,,,,,,,,,,,,,,
MEDIAN,60671469.5,5,10,1351516716,6,12,31,6,82915,21716168217315800,,,,,,,,,,,,,,,,
VAR.P,2.27322E+21,1.454081633,53.46428571,9.28895E+24,2.137755102,44.02423469,9.758928571,3.704081633,508922688.6,20644042572308000000000000000000000000000000,,,,,,,,,,,,,,,,
VAR.S,2.35742E+21,1.507936508,55.44444444,9.63299E+24,2.216931217,45.6547619,10.12037037,3.841269841,527771677.1,21408636741652700000000000000000000000000000,,,,,,,,,,,,,,,,
AVEDEV,25039547568,1.086734694,6.142857143,1.65406E+12,1.091836735,5.908163265,2.589285714,1.673469388,16744.58163,2674854081366220000000,,,,,,,,,,,,,,,,
SKEW,3.950012129,0.076489092,0.164917744,3.779099749,-0.014056311,-0.037593063,0.64715557,-1.125546246,-0.301367932,3,,,,,,,,,,,,,,,,
SKEW.P,3.735174357,0.072328916,0.15594801,3.573557755,-0.013291801,-0.035548408,0.611957334,-1.064328751,-0.284976789,3,,,,,,,,,,,,,,,,
Women,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,83515496104,5.955555556,8.977777778,2.99986E+14,6.4,11.08888889,30.57777778,3.822222222,72407.35556,77317237449868500000000,,,,,,,,,,,,,,,,
MODE.MULT,#SPILL!,6,1,2.39121E+12,#SPILL!,#SPILL!,29,6,68108,#N/A,,,,,,,,,,,,,,,,
MODE.SNGL,41149512125,6,1,2.39121E+12,6,13,29,6,68108,#N/A,,,,,,,,,,,,,,,,
MEDIAN,129121295,6,10,1016618525,6,10,30,5,68108,411495121251821000,,,,,,,,,,,,,,,,
VAR.P,1.37224E+23,1.820246914,40.28839506,2.88223E+30,3.173333333,48.79209877,9.399506173,5.123950617,1228205549,131792737160932000000000000000000000000000000000,,,,,,,,,,,,,,,,
VAR.S,1.40342E+23,1.861616162,41.2040404,2.94773E+30,3.245454545,49.9010101,9.613131313,5.24040404,1256119312,134788026641862000000000000000000000000000000000,,,,,,,,,,,,,,,,
